epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,656.416,0.67792,0.48602,0.99276,0.99655,1,0.995,0.80882,0.73013,0.55143,1.07709,0.000957358,0.000957358,0.000957358
45,668.932,0.68554,0.48749,0.98533,0.99342,1,0.995,0.81832,0.70856,0.58789,1.0474,0.000940855,0.000940855,0.000940855
46,681.61,0.63484,0.48417,0.9446,0.99679,1,0.995,0.80718,0.7099,0.58798,1.05948,0.000924352,0.000924352,0.000924352
47,694.505,0.65302,0.49782,0.9814,0.9965,1,0.995,0.80398,0.67142,0.58844,1.03123,0.000907848,0.000907848,0.000907848
48,708.266,0.69428,0.48454,0.96756,0.99675,1,0.995,0.82953,0.61968,0.5509,0.9575,0.000891345,0.000891345,0.000891345
49,720.72,0.73572,0.51464,1.01034,0.99675,1,0.995,0.82406,0.64263,0.52453,0.96175,0.000874842,0.000874842,0.000874842
50,733.537,0.70051,0.50369,0.94731,0.99682,1,0.995,0.80609,0.6668,0.4989,0.96881,0.000858338,0.000858338,0.000858338
51,748.879,0.64122,0.48452,0.95784,0.99683,1,0.995,0.78091,0.71265,0.49706,1.01326,0.000841835,0.000841835,0.000841835
52,762.745,0.6569,0.46614,0.95948,0.99506,1,0.995,0.8152,0.66602,0.46164,0.97487,0.000825332,0.000825332,0.000825332
53,774.404,0.66523,0.4528,0.98921,0.99513,1,0.995,0.78812,0.64993,0.48693,0.94265,0.000808828,0.000808828,0.000808828
54,785.782,0.65344,0.45881,1.02479,0.99407,1,0.995,0.80201,0.66854,0.51789,0.95188,0.000792325,0.000792325,0.000792325
55,797.055,0.76341,0.50198,1.03517,0.98919,1,0.995,0.79923,0.70843,0.55054,0.98748,0.000775822,0.000775822,0.000775822
56,808.76,0.64847,0.49595,1.00418,1,0.94065,0.995,0.81234,0.68339,0.52498,0.97691,0.000759318,0.000759318,0.000759318
57,820.405,0.66201,0.46778,1.00793,0.99225,1,0.995,0.81489,0.67131,0.5075,0.98394,0.000742815,0.000742815,0.000742815
58,832.337,0.70596,0.49524,0.97262,0.99342,1,0.995,0.81927,0.64268,0.45304,0.97467,0.000726312,0.000726312,0.000726312
59,843.889,0.63625,0.43294,0.95429,0.99611,1,0.995,0.83832,0.61915,0.42898,0.96586,0.000709809,0.000709809,0.000709809
60,855.575,0.64486,0.45571,0.97324,0.99621,1,0.995,0.84417,0.63789,0.41022,0.9787,0.000693305,0.000693305,0.000693305
61,867.224,0.62188,0.43746,0.95762,0.99618,1,0.995,0.84953,0.64003,0.4053,0.99072,0.000676802,0.000676802,0.000676802
62,879.072,0.68531,0.44631,0.99157,0.99689,1,0.995,0.83459,0.64007,0.43418,0.99219,0.000660299,0.000660299,0.000660299
63,890.866,0.68238,0.43817,0.99051,0.99685,1,0.995,0.84431,0.63857,0.43557,0.97065,0.000643795,0.000643795,0.000643795
64,902.474,0.65552,0.45968,0.99567,0.99634,1,0.995,0.83748,0.64638,0.43976,0.97228,0.000627292,0.000627292,0.000627292
65,914.153,0.59668,0.4288,0.9508,0.99623,1,0.995,0.85168,0.63186,0.42426,0.96465,0.000610789,0.000610789,0.000610789
66,925.577,0.66812,0.43026,0.98709,0.99634,1,0.995,0.84489,0.63213,0.40654,0.97594,0.000594286,0.000594286,0.000594286
67,937.011,0.60583,0.41714,0.94262,0.99647,1,0.995,0.85135,0.64597,0.3869,0.99113,0.000577782,0.000577782,0.000577782
